"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"607","Q9WVA3","ENSMUSG00000066979","607.1.1","BUB3","ENSG00000154473","BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]"
"608","Q9Z0H4-6","N/A","608.1.1","N/A","N/A","N/A"
"609","Q8R4U7","ENSMUSG00000001089","609.1.1","LUZP1","ENSG00000169641","leucine zipper protein 1 [Source:HGNC Symbol;Acc:HGNC:14985]"
"610","B2RX14","ENSMUSG00000034610","610.1.1","TUT4","ENSG00000134744","terminal uridylyl transferase 4 [Source:HGNC Symbol;Acc:HGNC:28981]"
"611","P09103","ENSMUSG00000025130","611.1.1","P4HB","ENSG00000185624","prolyl 4-hydroxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8548]"
"612","P51410","ENSMUSG00000047215","612.1.1","N/A","N/A","N/A"
"613","Q00PI9","ENSMUSG00000071659","613.1.1","HNRNPUL2","ENSG00000214753","heterogeneous nuclear ribonucleoprotein U like 2 [Source:HGNC Symbol;Acc:HGNC:25451]"
"613","Q00PI9","ENSMUSG00000071659","613.1.2","HNRNPUL2-BSCL2","ENSG00000234857","HNRNPUL2-BSCL2 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49189]"
"614","Q6PAJ1","ENSMUSG00000009681","614.1.1","BCR","ENSG00000186716","BCR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:1014]"
"615","Q7TPD1","ENSMUSG00000005371","615.1.1","FBXO11","ENSG00000138081","F-box protein 11 [Source:HGNC Symbol;Acc:HGNC:13590]"
"616","Q7TPV4","ENSMUSG00000040463","616.1.1","MYBBP1A","ENSG00000132382","MYB binding protein 1a [Source:HGNC Symbol;Acc:HGNC:7546]"
"617","Q80VQ0","ENSMUSG00000024885","617.1.1","ALDH3B1","ENSG00000006534","aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]"
"618","Q8CFI7","ENSMUSG00000029250","618.1.1","POLR2B","ENSG00000047315","RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]"
"619","Q8K297","ENSMUSG00000034807","619.1.1","COLGALT1","ENSG00000130309","collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]"
"620","P27046","ENSMUSG00000024085","620.1.1","MAN2A1","ENSG00000112893","mannosidase alpha class 2A member 1 [Source:HGNC Symbol;Acc:HGNC:6824]"
"621","P70677","ENSMUSG00000031628","621.1.1","CASP3","ENSG00000164305","caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]"
"622","Q8R010","ENSMUSG00000029610","622.1.1","AIMP2","ENSG00000106305","aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]"
"623","P62717","ENSMUSG00000045128","623.1.1","N/A","N/A","N/A"
"624","Q05895","ENSMUSG00000028047","624.1.1","THBS3","ENSG00000169231","thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]"
"625","Q80TL7","ENSMUSG00000034602","625.1.1","MON2","ENSG00000061987","MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]"
"626","Q921J4","ENSMUSG00000060860","626.1.1","UBE2S","ENSG00000108106","ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]"
"627","Q9CQV8","ENSMUSG00000018326","627.1.1","YWHAB","ENSG00000166913","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]"
"628","Q9DBR7","ENSMUSG00000019907","628.1.1","PPP1R12A","ENSG00000058272","protein phosphatase 1 regulatory subunit 12A [Source:HGNC Symbol;Acc:HGNC:7618]"
"629","Q9WV70","N/A","629.1.1","N/A","N/A","N/A"
"630","A2APB8","ENSMUSG00000027469","630.1.1","TPX2","ENSG00000088325","TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]"
"631","P63323","N/A","631.1.1","N/A","N/A","N/A"
"632","Q5RJH6","ENSMUSG00000042772","632.1.1","SMG7","ENSG00000116698","SMG7 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:16792]"
"633","Q60973","ENSMUSG00000031353","633.1.1","RBBP7","ENSG00000102054","RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]"
"634","Q6ZWV3","ENSMUSG00000008682","634.1.1","N/A","N/A","N/A"
"634","Q6ZWV3","ENSMUSG00000058443","634.2.1","N/A","N/A","N/A"
"635","Q80UM3","N/A","635.1.1","N/A","N/A","N/A"
"636","Q99JY0","ENSMUSG00000059447","636.1.1","HADHB","ENSG00000138029","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]"
"637","Q99L47","ENSMUSG00000022403","637.1.1","ST13","ENSG00000100380","ST13 Hsp70 interacting protein [Source:HGNC Symbol;Acc:HGNC:11343]"
"638","Q9CYG7","ENSMUSG00000018322","638.1.1","TOMM34","ENSG00000025772","translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:HGNC:15746]"
"639","Q9WVA2","ENSMUSG00000048007","639.1.1","TIMM8A","ENSG00000126953","translocase of inner mitochondrial membrane 8A [Source:HGNC Symbol;Acc:HGNC:11817]"
"640","P25976","N/A","640.1.1","N/A","N/A","N/A"
"641","P26443","ENSMUSG00000021794","641.1.1","GLUD1","ENSG00000148672","glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]"
"641","P26443","ENSMUSG00000021794","641.1.2","GLUD2","ENSG00000182890","glutamate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4336]"
"642","Q6P5D8","ENSMUSG00000024054","642.1.1","SMCHD1","ENSG00000101596","structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]"
"643","Q6ZQ88","ENSMUSG00000036940","643.1.1","KDM1A","ENSG00000004487","lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]"
"644","Q8CIK8","ENSMUSG00000033596","644.1.1","RFWD3","ENSG00000168411","ring finger and WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:25539]"
"645","Q9CQT2","ENSMUSG00000042396","645.1.1","RBM7","ENSG00000076053","RNA binding motif protein 7 [Source:HGNC Symbol;Acc:HGNC:9904]"
"645","Q9CQT2","ENSMUSG00000042396","645.1.2","","ENSG00000255663","novel transcript, RBM7-REXO2 readthrough"
"646","Q9ES28-8","ENSMUSG00000031511","646.1.1","ARHGEF7","ENSG00000102606","Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]"
"647","Q9QZ06","ENSMUSG00000025139","647.1.1","TOLLIP","ENSG00000078902","toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]"
"648","Q61169-2","N/A","648.1.1","N/A","N/A","N/A"
"649","Q61881","ENSMUSG00000029730","649.1.1","MCM7","ENSG00000166508","minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]"
"650","Q8CHI8","ENSMUSG00000029505","650.1.1","EP400","ENSG00000183495","E1A binding protein p400 [Source:HGNC Symbol;Acc:HGNC:11958]"
"651","Q9JLN9","ENSMUSG00000028991","651.1.1","MTOR","ENSG00000198793","mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]"
"652","O88286-3","N/A","652.1.1","N/A","N/A","N/A"
"653","P04202","ENSMUSG00000002603","653.1.1","TGFB1","ENSG00000105329","transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]"
"654","P58771-2","ENSMUSG00000032366","654.1.1","TPM1","ENSG00000140416","tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]"
"655","Q3UU96","ENSMUSG00000026490","655.1.1","CDC42BPA","ENSG00000143776","CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737]"
"656","Q7TQC5","ENSMUSG00000028411","656.1.1","APTX","ENSG00000137074","aprataxin [Source:HGNC Symbol;Acc:HGNC:15984]"
"657","Q7TQF2","ENSMUSG00000048232","657.1.1","FBXO10","ENSG00000147912","F-box protein 10 [Source:HGNC Symbol;Acc:HGNC:13589]"
"658","Q8VHG2","ENSMUSG00000041688","658.1.1","AMOT","ENSG00000126016","angiomotin [Source:HGNC Symbol;Acc:HGNC:17810]"
"659","Q921E6","ENSMUSG00000030619","659.1.1","EED","ENSG00000074266","embryonic ectoderm development [Source:HGNC Symbol;Acc:HGNC:3188]"
"660","Q99JY9","ENSMUSG00000026341","660.1.1","ACTR3","ENSG00000115091","actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]"
"661","Q9D706","ENSMUSG00000022466","661.1.1","RPAP3","ENSG00000005175","RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]"
"662","Q9QYS9","ENSMUSG00000062078","662.1.1","QKI","ENSG00000112531","QKI, KH domain containing RNA binding [Source:HGNC Symbol;Acc:HGNC:21100]"
"663","E9PYK3","ENSMUSG00000054509","663.1.1","PARP4","ENSG00000102699","poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]"
"664","O88447","N/A","664.1.1","N/A","N/A","N/A"
"665","P10493","ENSMUSG00000005397","665.1.1","NID1","ENSG00000116962","nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]"
"666","P14873","ENSMUSG00000052727","666.1.1","MAP1B","ENSG00000131711","microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]"
"667","Q80XQ2","ENSMUSG00000023923","667.1.1","TBC1D5","ENSG00000131374","TBC1 domain family member 5 [Source:HGNC Symbol;Acc:HGNC:19166]"
"668","Q8CIB9","ENSMUSG00000022034","668.1.1","ESCO2","ENSG00000171320","establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:27230]"
"669","Q9JIX8","ENSMUSG00000022185","669.1.1","ACIN1","ENSG00000100813","apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]"
"670","Q9JJA2","ENSMUSG00000031916","670.1.1","COG8","ENSG00000213380","component of oligomeric golgi complex 8 [Source:HGNC Symbol;Acc:HGNC:18623]"
"670","Q9JJA2","ENSMUSG00000031916","670.1.2","","ENSG00000272617","novel protein, COG8-PDF readthrough"
"671","Q9JKV1","ENSMUSG00000039041","671.1.1","ADRM1","ENSG00000130706","ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]"
"672","Q9WTI7-3","ENSMUSG00000017774","672.1.1","MYO1C","ENSG00000197879","myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]"
"673","Q9Z0M5","ENSMUSG00000024781","673.1.1","LIPA","ENSG00000107798","lipase A, lysosomal acid type [Source:HGNC Symbol;Acc:HGNC:6617]"
"674","Q91ZE0","N/A","674.1.1","N/A","N/A","N/A"
"675","P19182","ENSMUSG00000001627","675.1.1","IFRD1","ENSG00000006652","interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]"
"675","P19182","ENSMUSG00000001627","675.1.2","","ENSG00000288640","novel protein"
"676","Q80W00","ENSMUSG00000039220","676.1.1","PPP1R10","ENSG00000204569","protein phosphatase 1 regulatory subunit 10 [Source:HGNC Symbol;Acc:HGNC:9284]"
"677","Q8BWW9","ENSMUSG00000004591","677.1.1","PKN2","ENSG00000065243","protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]"
"678","Q8VD62","ENSMUSG00000047423","678.1.1","C11orf68","ENSG00000175573","chromosome 11 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:28801]"
"679","Q8BM39","ENSMUSG00000039449","679.1.1","PRPF18","ENSG00000165630","pre-mRNA processing factor 18 [Source:HGNC Symbol;Acc:HGNC:17351]"
"679","Q8BM39","ENSMUSG00000039449","679.1.2","","ENSG00000282246","novel protein"
"680","B2RY04","ENSMUSG00000044447","680.1.1","DOCK5","ENSG00000147459","dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]"
"681","O09053","ENSMUSG00000031583","681.1.1","WRN","ENSG00000165392","WRN RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:12791]"
"682","O88878","ENSMUSG00000024750","682.1.1","ZFAND5","ENSG00000107372","zinc finger AN1-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13008]"
"683","P21126","ENSMUSG00000015290","683.1.1","UBL4A","ENSG00000102178","ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505]"
"684","P39876","ENSMUSG00000020044","684.1.1","TIMP3","ENSG00000100234","TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]"
"685","P62270","ENSMUSG00000008668","685.1.1","RPS18","ENSG00000231500","ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]"
"686","P63094","ENSMUSG00000027523","686.1.1","GNAS","ENSG00000087460","GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]"
"687","Q00519","ENSMUSG00000024066","687.1.1","XDH","ENSG00000158125","xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805]"
"688","Q5H8C4","ENSMUSG00000046230","688.1.1","VPS13A","ENSG00000197969","vacuolar protein sorting 13 homolog A [Source:HGNC Symbol;Acc:HGNC:1908]"
"689","Q91X58","ENSMUSG00000026197","689.1.1","ZFAND2B","ENSG00000158552","zinc finger AN1-type containing 2B [Source:HGNC Symbol;Acc:HGNC:25206]"
"690","Q922U1","ENSMUSG00000015748","690.1.1","PRPF3","ENSG00000117360","pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]"
"691","Q9CX66","ENSMUSG00000020255","691.1.1","NOPCHAP1","ENSG00000151131","NOP protein chaperone 1 [Source:HGNC Symbol;Acc:HGNC:28628]"
"692","Q9D0D4","ENSMUSG00000021692","692.1.1","DIMT1","ENSG00000086189","DIM1 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:30217]"
"693","Q9D2L9","ENSMUSG00000024691","693.1.1","FAM111A","ENSG00000166801","FAM111 trypsin like peptidase A [Source:HGNC Symbol;Acc:HGNC:24725]"
"694","Q9EQI8","ENSMUSG00000030612","694.1.1","MRPL46","ENSG00000259494","mitochondrial ribosomal protein L46 [Source:HGNC Symbol;Acc:HGNC:1192]"
"695","Q9Z1Y4","ENSMUSG00000023348","695.1.1","TRIP6","ENSG00000087077","thyroid hormone receptor interactor 6 [Source:HGNC Symbol;Acc:HGNC:12311]"
"696","Q3UHA3","ENSMUSG00000033396","696.1.1","SPG11","ENSG00000104133","SPG11 vesicle trafficking associated, spatacsin [Source:HGNC Symbol;Acc:HGNC:11226]"
"697","Q5EG47","ENSMUSG00000050697","697.1.1","PRKAA1","ENSG00000132356","protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]"
"698","A2AKB9","ENSMUSG00000035572","698.1.1","DCAF10","ENSG00000122741","DDB1 and CUL4 associated factor 10 [Source:HGNC Symbol;Acc:HGNC:23686]"
"699","P17012","ENSMUSG00000079509","699.1.1","ZFY","ENSG00000067646","zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]"
"700","Q80U12","ENSMUSG00000038351","700.1.1","SGSM2","ENSG00000141258","small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29026]"
"701","Q91YK2","ENSMUSG00000058392","701.1.1","RRP1B","ENSG00000160208","ribosomal RNA processing 1B [Source:HGNC Symbol;Acc:HGNC:23818]"
"702","Q9D7S7","ENSMUSG00000039221","702.1.1","RPL22L1","ENSG00000163584","ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]"
"703","Q9WUM5","ENSMUSG00000052738","703.1.1","SUCLG1","ENSG00000163541","succinate-CoA ligase GDP/ADP-forming subunit alpha [Source:HGNC Symbol;Acc:HGNC:11449]"
"704","Q07076","ENSMUSG00000021814","704.1.1","ANXA7","ENSG00000138279","annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]"
"705","P84091","ENSMUSG00000022841","705.1.1","AP2M1","ENSG00000161203","adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]"
"706","Q6P549","ENSMUSG00000032737","706.1.1","INPPL1","ENSG00000165458","inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]"
"707","Q6PD28","ENSMUSG00000024777","707.1.1","PPP2R5B","ENSG00000068971","protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]"
"708","Q8BG95","ENSMUSG00000073557","708.1.1","PPP1R12B","ENSG00000077157","protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]"
"709","Q8CI95","N/A","709.1.1","N/A","N/A","N/A"
"710","Q8CIN4","ENSMUSG00000022781","710.1.1","PAK2","ENSG00000180370","p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]"
"711","Q00780","ENSMUSG00000068196","711.1.1","COL8A1","ENSG00000144810","collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]"
"712","Q80UU1","N/A","712.1.1","N/A","N/A","N/A"
"713","Q8BGA5","ENSMUSG00000063334","713.1.1","KRR1","ENSG00000111615","KRR1 small subunit processome component homolog [Source:HGNC Symbol;Acc:HGNC:5176]"
"714","Q8C0V0","ENSMUSG00000041997","714.1.1","TLK1","ENSG00000198586","tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]"
"715","Q8R2S9","ENSMUSG00000015971","715.1.1","ACTR8","ENSG00000113812","actin related protein 8 [Source:HGNC Symbol;Acc:HGNC:14672]"
"716","Q91WR3","ENSMUSG00000020412","716.1.1","ASCC2","ENSG00000100325","activating signal cointegrator 1 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24103]"
"717","Q9CZX8","ENSMUSG00000040952","717.1.1","RPS19","ENSG00000105372","ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]"
"718","Q9D281","ENSMUSG00000029185","718.1.1","FAM114A1","ENSG00000197712","family with sequence similarity 114 member A1 [Source:HGNC Symbol;Acc:HGNC:25087]"
"719","Q9D7P6","ENSMUSG00000025825","719.1.1","N/A","N/A","N/A"
"720","D3YXK2","ENSMUSG00000071054","720.1.1","SAFB","ENSG00000160633","scaffold attachment factor B [Source:HGNC Symbol;Acc:HGNC:10520]"
"721","Q9R112","ENSMUSG00000005803","721.1.1","SQOR","ENSG00000137767","sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]"
"721","Q9R112","ENSMUSG00000005803","721.1.2","","ENSG00000260170","novel protein"
"722","E9PZJ8","ENSMUSG00000038774","722.1.1","ASCC3","ENSG00000112249","activating signal cointegrator 1 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:18697]"
"723","O35955","ENSMUSG00000031897","723.1.1","PSMB10","ENSG00000205220","proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]"
"724","P29341","ENSMUSG00000022283","724.1.1","N/A","N/A","N/A"
"725","Q6PDH0","ENSMUSG00000048537","725.1.1","PHLDB1","ENSG00000019144","pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]"
"726","Q7TT50","ENSMUSG00000021279","726.1.1","CDC42BPB","ENSG00000198752","CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738]"
"727","Q8CE72","ENSMUSG00000039801","727.1.1","CPLANE1","ENSG00000197603","ciliogenesis and planar polarity effector 1 [Source:HGNC Symbol;Acc:HGNC:25801]"
"728","Q8R527","ENSMUSG00000024143","728.1.1","RHOQ","ENSG00000119729","ras homolog family member Q [Source:HGNC Symbol;Acc:HGNC:17736]"
"729","Q9D8M7","N/A","729.1.1","N/A","N/A","N/A"
"730","Q9WUK4","ENSMUSG00000023104","730.1.1","RFC2","ENSG00000049541","replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]"
"731","Q9Z315","ENSMUSG00000039148","731.1.1","SART1","ENSG00000175467","spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP [Source:HGNC Symbol;Acc:HGNC:10538]"
"732","P08030","ENSMUSG00000006589","732.1.1","APRT","ENSG00000198931","adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]"
"733","P68181","ENSMUSG00000005034","733.1.1","PRKACB","ENSG00000142875","protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]"
"734","Q6ZPR6","ENSMUSG00000035941","734.1.1","IBTK","ENSG00000005700","inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]"
"735","Q924K8","ENSMUSG00000055817","735.1.1","MTA3","ENSG00000057935","metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784]"
"736","Q9WU42","ENSMUSG00000029478","736.1.1","NCOR2","ENSG00000196498","nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]"
"737","P19253","ENSMUSG00000074129","737.1.1","N/A","N/A","N/A"
"738","Q8R1N0","ENSMUSG00000046010","738.1.1","ZNF830","ENSG00000198783","zinc finger protein 830 [Source:HGNC Symbol;Acc:HGNC:28291]"
"739","P41230","ENSMUSG00000025332","739.1.1","KDM5C","ENSG00000126012","lysine demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]"
"740","P63330","ENSMUSG00000020349","740.1.1","PPP2CA","ENSG00000113575","protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]"
"741","P70318","ENSMUSG00000030846","741.1.1","TIAL1","ENSG00000151923","TIA1 cytotoxic granule associated RNA binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11804]"
"742","P97819","ENSMUSG00000042632","742.1.1","PLA2G6","ENSG00000184381","phospholipase A2 group VI [Source:HGNC Symbol;Acc:HGNC:9039]"
"743","Q3V1T4","ENSMUSG00000028641","743.1.1","P3H1","ENSG00000117385","prolyl 3-hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:19316]"
"744","Q61191","ENSMUSG00000031386","744.1.1","HCFC1","ENSG00000172534","host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]"
"745","Q62018","ENSMUSG00000005609","745.1.1","CTR9","ENSG00000198730","CTR9 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:16850]"
"746","Q91VM5","ENSMUSG00000037070","746.1.1","RBMXL1","ENSG00000213516","RBMX like 1 [Source:HGNC Symbol;Acc:HGNC:25073]"
"747","Q91YE3","ENSMUSG00000031987","747.1.1","EGLN1","ENSG00000135766","egl-9 family hypoxia inducible factor 1 [Source:HGNC Symbol;Acc:HGNC:1232]"
"747","Q91YE3","ENSMUSG00000031987","747.1.2","","ENSG00000287856","novel protein"
"748","Q9CXL3","ENSMUSG00000053553","748.1.1","C7orf50","ENSG00000146540","chromosome 7 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:22421]"
"749","Q9JIL5","ENSMUSG00000034377","749.1.1","TULP4","ENSG00000130338","TUB like protein 4 [Source:HGNC Symbol;Acc:HGNC:15530]"
"750","Q9JLM9","ENSMUSG00000026888","750.1.1","GRB14","ENSG00000115290","growth factor receptor bound protein 14 [Source:HGNC Symbol;Acc:HGNC:4565]"
"751","Q9JMK2","ENSMUSG00000022433","751.1.1","CSNK1E","ENSG00000213923","casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]"
"751","Q9JMK2","ENSMUSG00000022433","751.1.2","TPTEP2-CSNK1E","ENSG00000283900","TPTEP2-CSNK1E readthrough [Source:HGNC Symbol;Acc:HGNC:53829]"
"752","O35239","ENSMUSG00000032290","752.1.1","PTPN9","ENSG00000169410","protein tyrosine phosphatase non-receptor type 9 [Source:HGNC Symbol;Acc:HGNC:9661]"
"753","P16546","ENSMUSG00000057738","753.1.1","SPTAN1","ENSG00000197694","spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]"
"754","P43277","ENSMUSG00000052565","754.1.1","H1-3","ENSG00000124575","H1.3 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4717]"
"755","P68372","ENSMUSG00000036752","755.1.1","TUBB4B","ENSG00000188229","tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]"
"756","Q61545","ENSMUSG00000009079","756.1.1","EWSR1","ENSG00000182944","EWS RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3508]"
"757","Q8CEF1","ENSMUSG00000033319","757.1.1","FEM1C","ENSG00000145780","fem-1 homolog C [Source:HGNC Symbol;Acc:HGNC:16933]"
"758","Q9CWM4","N/A","758.1.1","N/A","N/A","N/A"
"759","Q9JMA1","ENSMUSG00000047879","759.1.1","USP14","ENSG00000101557","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]"
"760","Q9Z1T1","ENSMUSG00000021686","760.1.1","AP3B1","ENSG00000132842","adaptor related protein complex 3 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:566]"
"761","P25206","ENSMUSG00000041859","761.1.1","MCM3","ENSG00000112118","minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]"
"762","P40694","N/A","762.1.1","N/A","N/A","N/A"
"763","P49586","ENSMUSG00000005615","763.1.1","PCYT1A","ENSG00000161217","phosphate cytidylyltransferase 1A, choline [Source:HGNC Symbol;Acc:HGNC:8754]"
"764","P59999","ENSMUSG00000079426","764.1.1","ARPC4","ENSG00000241553","actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707]"
"765","Q00547","ENSMUSG00000020330","765.1.1","HMMR","ENSG00000072571","hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]"
"766","Q60974","N/A","766.1.1","N/A","N/A","N/A"
"767","Q6ZWY3","ENSMUSG00000036781","767.1.1","RPS27L","ENSG00000185088","ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]"
"768","Q80V24","ENSMUSG00000030315","768.1.1","VGLL4","ENSG00000144560","vestigial like family member 4 [Source:HGNC Symbol;Acc:HGNC:28966]"
"769","Q80ZA4","ENSMUSG00000038725","769.1.1","PKHD1L1","ENSG00000205038","PKHD1 like 1 [Source:HGNC Symbol;Acc:HGNC:20313]"
"770","Q8VDS4","ENSMUSG00000040446","770.1.1","RPRD1A","ENSG00000141425","regulation of nuclear pre-mRNA domain containing 1A [Source:HGNC Symbol;Acc:HGNC:25560]"
"771","Q9CZU6","ENSMUSG00000005683","771.1.1","CS","ENSG00000062485","citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]"
"772","P60335","ENSMUSG00000051695","772.1.1","PCBP1","ENSG00000169564","poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]"
"773","Q91W59","ENSMUSG00000026970","773.1.1","RBMS1","ENSG00000153250","RNA binding motif single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]"
"774","O88545","ENSMUSG00000019494","774.1.1","COPS6","ENSG00000168090","COP9 signalosome subunit 6 [Source:HGNC Symbol;Acc:HGNC:21749]"
"775","Q6ZQ06","ENSMUSG00000056919","775.1.1","CEP162","ENSG00000135315","centrosomal protein 162 [Source:HGNC Symbol;Acc:HGNC:21107]"
"776","Q8BKS9","N/A","776.1.1","N/A","N/A","N/A"
